aX,aY,aZ,gX,gY,gZ
-0.460,0.083,1.002,-4.089,11.597,-6.714
-0.467,0.080,0.982,-5.310,8.728,-7.446
-0.466,0.088,0.986,-9.888,5.188,-7.935
-0.457,0.096,1.006,-14.526,3.479,-8.667
-0.444,0.117,0.997,-14.893,4.700,-8.301
-0.441,0.129,0.983,-13.672,6.165,-8.240
-0.430,0.137,0.968,-11.169,6.775,-8.301
-0.429,0.148,0.938,-7.874,6.531,-7.568
-0.419,0.156,0.907,-5.981,5.127,-6.165
-0.411,0.155,0.905,-4.578,2.319,-4.578
-0.415,0.158,0.923,-3.357,0.000,-3.113
-0.427,0.158,0.916,-0.366,-0.488,-1.648
-0.443,0.147,0.874,1.526,-0.854,-0.427
-0.432,0.148,0.844,0.671,-3.601,0.183
-0.429,0.149,0.865,-1.892,-7.324,-0.061
-0.421,0.146,0.890,-3.174,-8.423,-0.183
-0.410,0.150,0.906,-2.747,-7.202,0.000
-0.406,0.151,0.927,-1.770,-5.371,0.122
-0.411,0.141,0.933,-0.916,-3.113,-0.183
-0.397,0.135,0.925,-1.709,-0.977,-0.732
-0.383,0.128,0.939,-3.357,-0.366,-1.038
-0.376,0.128,0.965,-3.784,-0.061,-0.854
-0.372,0.129,0.970,-2.991,1.465,-0.305
-0.373,0.124,0.956,-1.343,4.150,-0.061
-0.374,0.113,0.933,0.732,5.493,0.305
-0.375,0.107,0.913,2.380,3.784,0.977
-0.381,0.105,0.915,2.014,0.732,1.709
-0.384,0.100,0.919,0.366,-1.526,2.136
-0.384,0.108,0.924,-1.465,-2.991,2.563
-0.388,0.112,0.922,-1.038,-3.723,2.930
-0.392,0.104,0.923,-0.305,-4.517,3.052
-0.391,0.106,0.931,-1.099,-4.456,3.296
-0.392,0.117,0.939,-1.709,-4.089,3.845
-0.402,0.121,0.943,-1.038,-3.845,4.150
-0.403,0.123,0.951,-0.793,-4.517,3.540
-0.401,0.123,0.960,-0.061,-4.822,2.625
-0.391,0.125,0.960,0.732,-3.967,2.197
-0.379,0.130,0.960,1.221,-3.052,2.136
-0.369,0.129,0.958,2.258,-1.953,2.441
-0.363,0.123,0.937,2.869,-1.282,3.479
-0.362,0.123,0.936,2.808,-3.235,5.127
-0.365,0.125,0.948,2.930,-5.371,6.592
-0.367,0.106,0.946,3.296,-6.592,6.470
-0.363,0.097,0.940,3.784,-7.629,6.226
-0.367,0.105,0.923,4.150,-7.446,6.714
-0.368,0.102,0.885,5.371,-5.615,6.226
-0.364,0.089,0.830,6.104,-4.395,5.127
-0.354,0.082,0.797,6.348,-4.883,4.333
-0.338,0.086,0.777,5.066,-5.493,4.333
-0.332,0.078,0.752,3.052,-4.761,4.456
-0.321,0.062,0.702,2.441,-2.441,4.272
-0.299,0.036,0.572,2.380,0.916,4.700
-0.290,0.042,0.453,-6.775,0.977,5.981
-0.286,0.075,0.418,-18.433,-3.723,7.263
-0.267,0.085,0.378,-22.888,-9.399,7.507
-0.232,0.074,0.263,-25.391,-11.169,7.935
-0.199,0.076,0.129,-30.640,-8.606,10.925
-0.181,0.086,-0.010,-32.104,-3.723,16.296
-0.175,0.092,-0.164,-23.804,2.747,21.179
-0.198,0.104,-0.256,-4.456,7.202,24.841
-0.213,0.065,-0.317,24.292,5.554,26.123
-0.240,-0.004,-0.311,48.889,-2.869,25.574
-0.243,-0.010,-0.245,67.261,-15.137,23.193

-0.694,-0.302,1.707,82.275,19.714,21.057
-0.899,-0.385,1.898,70.190,2.502,9.521
-0.575,-0.194,1.265,51.392,26.367,4.761
-0.639,0.033,1.672,35.706,-14.709,2.502
-0.576,-0.321,2.073,8.972,-75.012,-21.362
-0.516,-0.161,1.887,7.812,-34.546,-10.559
-0.629,-0.270,1.888,-4.578,-7.874,-5.249
-0.542,-0.108,1.335,-19.470,25.574,-1.160
-0.633,-0.089,1.264,-26.917,19.836,0.488
-0.599,-0.175,1.226,-30.823,0.488,-13.672
-0.606,-0.185,1.224,-26.428,-12.451,-19.653
-0.669,-0.230,1.334,-19.348,-27.039,-25.391
-0.711,-0.265,1.421,-11.658,-36.804,-29.724
-0.804,-0.288,1.564,-6.042,-42.603,-32.532
-0.854,-0.333,1.661,-3.967,-42.419,-35.400
-0.835,-0.387,1.699,-3.845,-35.889,-33.508
-0.889,-0.354,1.723,-7.751,-26.306,-26.062
-0.893,-0.350,1.745,-17.212,-13.306,-18.372
-0.833,-0.259,1.681,-30.396,3.235,-13.733
-0.805,-0.267,1.691,-43.152,15.808,-16.541
-0.789,-0.303,1.723,-55.298,26.611,-21.545
-0.768,-0.304,1.749,-64.453,39.185,-23.560
-0.755,-0.252,1.786,-68.420,48.035,-23.560
-0.752,-0.194,1.836,-68.176,51.270,-22.766
-0.724,-0.156,1.862,-67.932,53.955,-24.963
-0.678,-0.139,1.828,-69.275,57.007,-28.870
-0.644,-0.116,1.732,-72.632,56.030,-31.067
-0.578,-0.089,1.593,-78.918,52.124,-32.410
-0.508,-0.098,1.418,-84.961,46.997,-35.522
-0.433,-0.122,1.268,-91.736,41.748,-37.415
-0.337,-0.133,1.147,-98.267,43.030,-36.865
-0.267,-0.106,0.952,-95.520,49.988,-31.982
-0.272,-0.144,0.762,-85.327,50.903,-22.522
-0.226,-0.147,0.601,-86.365,44.189,-4.517
-0.200,-0.068,0.411,-87.585,34.180,16.663
-0.184,0.008,0.323,-78.186,15.198,33.569
-0.187,0.057,0.292,-70.190,-4.578,40.894
-0.167,0.097,0.234,-60.791,-18.494,39.612
-0.150,0.108,0.131,-51.514,-30.762,31.799
-0.168,0.099,0.067,-44.739,-46.692,22.949
-0.194,0.097,0.050,-43.152,-62.012,16.296
-0.214,0.100,0.033,-42.480,-68.848,9.705
-0.214,0.137,-0.019,-37.720,-67.932,3.906
-0.216,0.150,-0.067,-27.527,-65.369,-3.235
-0.231,0.106,-0.057,-17.700,-64.758,-10.376
-0.236,0.081,-0.010,-11.353,-65.674,-13.123
-0.225,0.067,0.078,-4.883,-65.796,-13.245
-0.239,0.049,0.197,-0.244,-62.500,-13.123
-0.250,0.054,0.285,3.357,-53.467,-11.658
-0.263,0.045,0.349,7.202,-42.908,-10.437
-0.271,0.039,0.400,9.827,-33.020,-8.850
-0.275,0.039,0.455,12.451,-24.292,-6.592
-0.288,0.043,0.519,15.991,-15.320,-4.089
-0.310,0.038,0.592,20.325,-6.470,-2.319
-0.332,0.019,0.677,22.156,1.770,-1.526
-0.358,0.007,0.745,22.095,11.047,-0.122
-0.395,0.009,0.776,20.203,20.813,1.404
-0.404,0.028,0.822,15.381,26.245,1.282
-0.399,0.033,0.897,11.536,28.564,-0.732
-0.396,0.028,0.978,10.681,31.555,-2.441
-0.399,0.050,1.006,11.353,36.072,-2.319
-0.411,0.070,1.009,8.911,38.940,-2.563
-0.423,0.081,1.023,3.113,38.696,-4.089
