aX,aY,aZ,gX,gY,gZ
0.021,-0.039,0.593,-22.705,43.335,-26.245
0.069,-0.068,0.652,-15.503,52.612,-30.396
0.093,-0.058,0.743,-13.977,57.617,-25.085
0.076,0.032,0.865,-6.287,55.786,-17.761
0.061,0.028,0.964,9.521,50.537,-19.653
0.032,0.005,1.082,14.038,45.227,-21.606
0.017,-0.038,1.244,20.325,42.053,-21.729
-0.042,-0.049,1.413,21.545,46.692,-19.226
-0.023,-0.040,1.497,20.813,55.725,-12.756
-0.136,0.034,1.614,20.081,60.120,-7.446
-0.160,-0.067,1.731,32.776,53.894,-17.212
-0.100,-0.057,1.760,10.315,59.753,-19.531
-0.072,-0.000,1.743,4.456,69.580,-18.494
-0.055,0.044,1.782,6.653,67.810,-19.714
-0.038,-0.007,1.870,-6.042,56.946,-22.522
0.032,0.009,1.923,-30.396,50.171,-17.700
0.075,0.062,1.921,-44.006,48.157,-9.827
0.094,0.078,1.908,-45.715,44.128,-4.150
0.125,0.132,1.869,-53.772,38.269,3.235
0.124,0.162,1.801,-54.688,32.593,8.911
0.094,0.182,1.721,-51.758,25.330,13.123
0.075,0.204,1.616,-49.622,18.555,14.954
0.051,0.221,1.507,-45.166,11.597,14.343
0.028,0.217,1.401,-40.222,3.784,11.597
0.015,0.194,1.294,-33.203,-3.601,8.362
0.011,0.182,1.197,-27.832,-10.742,5.676
0.002,0.165,1.115,-20.935,-17.822,3.174
0.001,0.153,1.052,-15.869,-23.621,1.526
0.007,0.141,1.005,-10.803,-28.137,-0.061
0.020,0.119,0.977,-6.836,-31.494,-1.526
0.040,0.099,0.955,-3.296,-33.447,-2.075
0.063,0.085,0.939,-0.549,-33.997,-1.526
0.069,0.073,0.916,1.343,-32.959,0.244
0.087,0.070,0.873,0.854,-29.846,2.075
0.100,0.068,0.834,-2.075,-26.855,3.723
0.097,0.063,0.818,-5.676,-24.231,4.944
0.083,0.049,0.801,-7.263,-20.813,5.554
0.070,0.024,0.791,-6.104,-17.273,5.737
0.046,0.007,0.799,-3.784,-14.526,5.920
0.016,-0.001,0.821,0.000,-13.000,5.981
-0.005,-0.008,0.833,3.540,-12.329,4.456
-0.019,-0.017,0.860,5.310,-13.306,1.892
-0.030,-0.034,0.901,6.042,-14.709,-0.977
-0.042,-0.046,0.927,4.822,-13.855,-3.357
-0.043,-0.040,0.955,0.122,-10.986,-6.165
-0.029,-0.040,0.990,-5.859,-8.118,-8.911
-0.018,-0.034,1.024,-10.681,-4.883,-11.108
-0.010,-0.022,1.036,-12.573,-2.258,-11.902
-0.005,-0.007,1.037,-12.573,-0.610,-11.963
0.000,0.025,1.030,-11.475,0.305,-11.475
0.031,0.033,1.008,-8.240,0.854,-11.108
0.060,0.040,1.015,-5.127,0.183,-7.507
0.041,0.060,0.998,3.296,-1.221,-3.479
0.024,0.052,0.994,7.812,-2.441,-2.197
0.011,0.057,0.993,7.996,-3.723,-0.977
0.001,0.052,0.996,8.301,-4.822,-1.221
0.006,0.034,1.009,4.639,-4.272,-1.770
0.009,0.046,1.035,1.099,-2.319,-0.061
0.031,0.072,1.058,-2.869,2.502,2.686
0.038,0.089,1.046,-11.292,10.620,3.967
-0.019,0.065,1.035,-20.752,17.090,3.296
-0.053,0.025,1.041,-22.156,20.264,2.319
-0.066,0.047,1.031,-21.301,23.926,3.235
-0.056,0.076,0.996,-25.574,30.029,3.845
-0.064,0.071,0.935,-29.907,36.560,2.441
-0.064,0.076,0.905,-26.367,37.537,0.732
-0.022,0.093,0.932,-22.156,32.959,-0.671
