aX,aY,aZ,gX,gY,gZ
-0.006,0.237,0.906,8.850,0.671,-3.601
-0.003,0.232,0.947,14.709,-2.563,-6.042
0.005,0.215,0.962,19.409,-3.906,-8.789
0.018,0.170,0.974,21.118,-4.639,-11.475
0.034,0.146,0.985,20.630,-5.615,-12.390
0.036,0.163,1.003,10.986,-8.118,-11.841
0.005,0.134,1.083,0.122,-11.292,-12.695

0.021,0.991,1.458,-8.484,44.739,52.673
0.043,0.992,1.327,-12.329,47.180,49.011
0.134,1.035,1.200,-17.517,43.213,48.340
0.214,1.065,1.051,-11.475,33.691,46.448
0.219,1.035,0.970,2.747,13.977,40.161
0.194,0.916,1.009,9.033,-15.991,29.175
0.119,0.746,1.253,7.324,-46.326,14.587
-0.018,0.452,1.394,4.211,-66.284,-2.075
-0.260,0.162,1.696,-10.376,-80.139,-15.991
-0.525,-0.020,2.062,-39.368,-82.336,-24.902
-0.774,-0.198,2.227,-56.763,-62.012,-34.790
-0.908,-0.387,2.146,-55.359,-28.687,-44.250
-0.999,-0.559,2.038,-52.856,-2.625,-50.415
-0.999,-0.623,1.984,-50.354,9.521,-49.744
-0.897,-0.605,1.984,-51.636,14.221,-47.913
-0.745,-0.560,2.004,-48.950,15.747,-49.500
-0.543,-0.540,2.012,-50.476,13.672,-55.298
-0.342,-0.626,2.031,-52.917,7.324,-62.439
-0.148,-0.737,2.031,-64.514,3.662,-66.772
-0.052,-0.847,2.022,-77.209,3.845,-64.636
0.044,-0.841,2.015,-92.834,4.639,-55.359
0.151,-0.733,1.932,-108.521,9.460,-44.800
0.261,-0.646,1.733,-114.746,17.517,-40.955
0.358,-0.638,1.560,-112.976,19.531,-45.105
0.486,-0.720,1.331,-99.915,15.686,-51.453
0.557,-0.852,1.096,-80.688,4.944,-53.406
0.562,-0.964,0.907,-62.073,-11.963,-47.424
0.501,-0.968,0.788,-50.232,-30.823,-32.959
0.392,-0.858,0.675,-37.354,-44.739,-15.808
0.221,-0.746,0.526,-17.029,-51.270,-5.310
0.110,-0.579,0.359,-0.183,-52.185,-3.418
