aX,aY,aZ,gX,gY,gZ
-0.073,-0.099,1.186,27.222,23.376,-54.260
-0.120,-0.076,1.140,20.569,31.860,-46.326
-0.079,-0.071,1.090,11.169,26.062,-34.058
-0.127,-0.024,1.099,-1.831,0.977,-7.874
-0.133,0.025,1.100,-5.249,-0.916,-6.165
-0.121,0.046,1.048,-6.531,1.526,-7.935
-0.116,0.080,1.012,-4.639,2.380,-8.301
-0.119,0.114,1.039,-3.967,-4.333,-8.240
-0.096,0.139,1.043,-1.953,-6.348,-8.789
-0.101,0.142,1.060,1.038,-0.916,-8.972
-0.098,0.148,1.066,2.991,4.517,-7.446
-0.089,0.162,1.079,1.526,4.150,-6.470
-0.084,0.174,1.090,0.061,4.761,-5.920
-0.077,0.179,1.093,-0.305,8.240,-5.737
-0.079,0.174,1.116,-0.732,8.606,-5.920
-0.071,0.166,1.130,-0.244,11.841,-5.432
-0.038,0.153,1.114,0.732,16.235,-4.822
-0.019,0.142,1.128,1.770,15.198,-3.662
-0.028,0.133,1.171,1.831,10.925,-2.808
-0.001,0.102,1.132,2.625,11.169,-2.441
-0.024,0.095,1.156,1.770,5.371,-1.038
-0.031,0.080,1.150,0.183,-1.404,-0.671
-0.023,0.070,1.133,-1.099,-4.395,-0.305
-0.043,0.057,1.124,-1.648,-6.592,-0.244
-0.053,0.045,1.109,-3.113,-6.653,-0.488
-0.060,0.038,1.088,-4.333,-6.470,-0.305
-0.068,0.031,1.094,-4.272,-8.850,-0.305
-0.089,0.012,1.110,-3.601,-9.827,-0.854

0.856,1.382,1.073,19.836,-40.588,-51.086
1.009,1.501,1.172,33.325,-62.073,-28.381
1.152,1.502,1.215,45.776,-70.740,-0.977
1.100,1.467,1.266,44.189,-69.641,30.334
0.988,1.371,1.274,30.090,-63.599,64.819
0.881,1.265,1.174,14.343,-48.889,98.328
0.742,1.106,1.051,1.221,-34.851,121.826
0.671,0.940,0.973,-5.859,-28.870,137.329
0.682,0.760,0.855,-5.737,-22.766,151.672
0.552,0.505,0.802,0.793,-22.705,163.208
0.350,0.236,0.823,9.521,-24.170,172.729
0.113,-0.074,0.928,15.198,-20.752,177.246
-0.131,-0.399,1.018,16.541,-9.583,177.917
-0.307,-0.641,1.045,11.292,3.723,171.875
-0.489,-0.902,1.078,5.066,13.550,155.518
-0.613,-1.095,1.072,-0.793,17.883,140.625
-0.514,-1.200,1.090,1.099,9.033,149.475
-0.514,-1.208,1.196,11.292,5.920,172.180
-0.506,-1.302,1.289,4.211,-8.667,168.213
-0.625,-1.405,1.358,-4.700,-32.104,124.207
